,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,77.48,-69.36,35.69,76,100,5.82
1,Port Alfred,-33.59,26.89,64.99,80,20,4.0
2,Hermanus,-34.42,19.24,54.0,99,100,3.0
3,Matagami,9.67,8.4,66.65,97,100,0.34
4,Avarua,-21.21,-159.78,77.0,83,98,11.41
5,Kapaa,22.08,-159.32,87.8,58,20,18.34
6,Saint-Philippe,45.36,-73.48,79.0,47,1,5.82
7,Codrington,-28.95,153.24,52.0,93,40,5.82
8,Port Lincoln,-34.72,135.86,53.51,58,82,1.81
9,Upernavik,72.79,-56.15,43.07,74,100,1.54
10,Bambous Virieux,-20.34,57.76,69.8,73,20,14.99
11,Dubbo,-32.25,148.6,41.0,60,61,3.09
12,Chongqing,29.56,106.55,84.2,66,0,3.42
13,Busselton,-33.64,115.35,43.0,62,0,11.21
14,Cape Town,-33.93,18.42,57.99,87,75,4.7
15,Tyup,42.73,78.36,40.37,36,0,7.23
16,Albany,42.65,-73.75,78.01,41,40,8.05
17,Isla Vista,34.41,-119.86,93.2,73,1,8.05
18,Lebu,8.96,38.73,54.41,83,0,1.79
19,Punta Arenas,-53.16,-70.91,48.2,61,75,8.05
20,Atuona,-9.8,-139.03,78.71,70,0,16.26
21,Barrington,41.74,-71.31,69.01,64,75,16.11
22,Rikitea,-23.12,-134.97,69.35,60,100,10.98
23,Nikolskoye,59.7,30.79,55.4,82,0,2.24
24,Jamestown,-33.21,138.6,36.41,88,0,2.84
25,Puerto Ayora,-0.74,-90.35,82.4,54,0,20.8
26,Waingapu,-9.65,120.26,64.31,92,10,6.26
27,Leh,34.16,77.58,46.85,39,0,2.1
28,Mataura,-46.19,168.86,44.01,96,100,8.99
29,Tasiilaq,65.61,-37.64,44.6,75,100,12.75
30,Bluff,-23.58,149.07,57.65,87,0,1.79
31,Labuhan,-2.54,115.51,72.41,95,66,1.3
32,Kulhudhuffushi,6.62,73.07,81.95,78,100,12.95
33,Mragowo,53.86,21.31,59.0,77,0,2.24
34,Inhambane,-23.87,35.38,66.2,88,0,6.93
35,Coihaique,-45.58,-72.07,50.0,53,75,9.17
36,Ushuaia,-54.81,-68.31,44.6,65,0,3.36
37,Ribeira Grande,38.52,-28.7,73.4,73,75,5.82
38,Ambon,47.55,-2.56,69.8,82,0,5.82
39,Port Elizabeth,39.31,-74.98,77.0,56,75,16.11
40,Butaritari,3.07,172.79,84.29,73,61,11.48
41,Georgetown,6.8,-58.16,86.0,70,40,11.41
42,Batagay,67.65,134.64,50.63,76,0,1.39
43,Binzhou,37.38,117.96,78.01,74,100,4.05
44,Sambava,-14.27,50.17,62.87,79,0,3.69
45,Sidi Ali,36.1,0.42,76.37,87,0,20.0
46,Beringovskiy,63.05,179.32,61.97,63,0,1.74
47,Mount Gambier,-37.83,140.78,39.2,100,90,3.36
48,Victoria,5.28,115.24,80.6,78,75,2.24
49,San Patricio,-26.98,-56.83,74.03,68,33,3.58
50,Kaeo,-35.1,173.78,55.99,100,17,13.27
51,Nikolsk,59.53,45.45,42.17,97,41,4.79
52,Hobart,-42.88,147.33,45.0,81,40,6.93
53,Barrow,-38.31,-60.23,60.35,68,100,4.18
54,De-Kastri,51.48,140.77,49.55,92,83,1.92
55,Chapais,49.78,-74.86,75.2,44,1,6.93
56,Bud,62.91,6.91,61.0,93,75,4.7
57,East London,-33.02,27.91,55.49,82,0,6.17
58,Zemio,5.02,25.13,68.81,98,100,4.0
59,Naze,5.43,7.07,74.03,91,89,3.69
60,Launceston,-41.43,147.14,37.0,86,0,5.82
61,Riberalta,-11.0,-66.08,91.4,55,20,2.73
62,Alice Springs,-23.7,133.88,50.0,46,0,9.17
63,Arraial do Cabo,-22.97,-42.02,71.6,60,75,8.05
64,Hasaki,35.73,140.83,71.6,88,75,6.93
65,Lundazi,-12.29,33.17,65.39,67,0,9.22
66,Faanui,-16.48,-151.75,78.35,68,1,8.39
67,Chokurdakh,70.62,147.9,49.37,89,90,7.2
68,Piacabucu,-10.41,-36.43,74.03,84,69,11.12
69,Anadyr,64.73,177.51,55.4,87,0,2.24
70,Kodiak,39.95,-94.76,69.01,88,90,6.93
71,Beni Mazar,28.5,30.8,82.85,39,0,12.91
72,New Norfolk,-42.78,147.06,45.0,81,40,6.93
73,Zhangye,38.94,100.46,62.87,53,8,3.74
74,Marawi,8.0,124.29,75.99,90,100,5.01
75,Kununurra,-15.77,128.74,57.2,87,0,6.78
76,Mogadishu,2.04,45.34,75.65,84,67,14.0
77,Klaksvik,62.23,-6.59,51.8,93,100,13.87
78,Puerto Leguizamo,-0.19,-74.78,73.85,95,100,2.04
79,Komsomolskiy,67.55,63.78,42.53,71,100,1.72
80,Saint-Pierre,48.95,4.24,78.8,36,0,4.7
81,Chenzhou,25.81,113.03,75.65,97,100,3.62
82,Airai,-8.93,125.41,64.13,74,38,4.81
83,Dudinka,69.41,86.18,53.6,93,40,6.71
84,Vaini,15.34,74.49,74.93,93,95,1.92
85,Severo-Kurilsk,50.68,156.12,48.65,96,100,23.69
86,Glendive,47.11,-104.71,80.01,39,1,14.99
87,Norman Wells,65.28,-126.83,55.4,66,75,4.7
88,Porto Novo,-23.68,-45.44,66.2,59,20,18.34
89,Bethel,60.79,-161.76,51.8,76,90,12.75
90,Luderitz,-26.65,15.16,60.8,67,0,13.87
91,Mahebourg,-20.41,57.7,69.8,73,20,14.99
92,Bubaque,11.28,-15.83,79.97,80,100,12.37
93,Tarakan,3.3,117.63,77.27,91,100,4.56
94,Nenita,12.49,124.8,77.27,90,70,5.14
95,Santa Maria,-16.02,-48.01,84.2,26,0,12.75
96,Longyearbyen,78.22,15.63,42.8,81,75,2.19
97,Kahului,20.89,-156.47,84.2,58,40,17.22
98,Beloha,-25.17,45.06,65.21,77,0,6.76
99,Sitka,37.17,-99.65,93.47,31,0,8.66
100,Bathsheba,13.22,-59.52,87.8,66,40,17.22
101,Beisfjord,68.38,17.6,55.99,93,75,41.38
102,Hithadhoo,-0.6,73.08,82.13,75,100,10.71
103,Hilo,19.71,-155.08,81.0,78,90,22.17
104,Tuktoyaktuk,69.44,-133.03,44.6,93,90,11.41
105,Thompson,55.74,-97.86,60.8,93,90,6.93
106,Torbay,47.66,-52.73,66.0,34,20,11.41
107,Mlonggo,-6.53,110.7,78.89,75,98,21.09
108,Dikson,73.51,80.55,40.91,98,100,6.17
109,Souillac,45.6,-0.6,78.8,61,0,8.05
110,Berdigestyakh,62.1,126.7,48.11,91,0,6.46
